"","message_text","variable"
"1","What did you find interesting about gamification as described in the article?The part that stuck out to me the most was the fourth paragraph under ""How: Goals and Techniques"": ""It [gamification] gives students clear, actionable tasks and promises them immediate rewards instead of vague long-term benefits...Games maintain this positive relationship with failure by making feedback cycles rapid and keeping the stakes low...in schools, on the other hand, the stakes of failure are high and the feedback cycles long. Students have few opportunities to try, and when they do, it is high stakes.""This resonated with me particularly in my experience with high-risk students where it's almost impossible to make them believe that school can help them succeed in life - the payoff is just too far away to make sense when there are all sorts of immediate gains that come from taking school less seriously, and they don't have to risk feeling stupid, particularly if they are already behind academically. Is gamification what you thought it was?I have read a little bit about gamification in the past, so Lee and Hammer's description fit with what I thought gamification was. How does gamification differ from actually using games? Gamification is using the techniques of games in a different context. It can mean turning an assignment into a game, but it can also refer to adding a ""game component"", like a competitive or cooperative element to the assignment. I think there is a lot of nuance around gamification and actually making it work in schools that will have to be discovered by trial and error. Gamification is a lot more than just switching from ""grades"" to ""experience points"", leaving everything else the same, and expecting student's motivation to be transformed. It required a much more in depth knowledge of what makes games appealing.I think a lot of the fun of games come from not being mandatory. So that's a hard line to draw in implementing gamification since we want all students to participate and we are accountable for them as teachers. I was thinking about our online learning community and how the book suggested (and Instructor has modeled this) that the community have places both for the required academic discussions/assignments, but also places for more causal, social interaction. Perhaps that is a lesson that could benefit gamification - in a classroom there could be certain games (or parts of a larger game) that are required, but there are also games (or areas of the larger game) that are low-stakes and just for fun. Students can get drawn in to the low-stakes game and work their way up to something more overtly educational.","MKI"
"2","What did you find interesting about gamification as described in the article?The part that stuck out to me the most was the fourth paragraph under ""How: Goals and Techniques"": ""It [gamification] gives students clear, actionable tasks and promises them immediate rewards instead of vague long-term benefits...Games maintain this positive relationship with failure by making feedback cycles rapid and keeping the stakes low...in schools, on the other hand, the stakes of failure are high and the feedback cycles long. Students have few opportunities to try, and when they do, it is high stakes.""This resonated with me particularly in my experience with high-risk students where it's almost impossible to make them believe that school can help them succeed in life - the payoff is just too far away to make sense when there are all sorts of immediate gains that come from taking school less seriously, and they don't have to risk feeling stupid, particularly if they are already behind academically. Is gamification what you thought it was?I have read a little bit about gamification in the past, so Lee and Hammer's description fit with what I thought gamification was. How does gamification differ from actually using games? Gamification is using the techniques of games in a different context. It can mean turning an assignment into a game, but it can also refer to adding a ""game component"", like a competitive or cooperative element to the assignment. I think there is a lot of nuance around gamification and actually making it work in schools that will have to be discovered by trial and error. Gamification is a lot more than just switching from ""grades"" to ""experience points"", leaving everything else the same, and expecting student's motivation to be transformed. It required a much more in depth knowledge of what makes games appealing.I think a lot of the fun of games come from not being mandatory. So that's a hard line to draw in implementing gamification since we want all students to participate and we are accountable for them as teachers. I was thinking about our online learning community and how the book suggested (and Instructor has modeled this) that the community have places both for the required academic discussions/assignments, but also places for more causal, social interaction. Perhaps that is a lesson that could benefit gamification - in a classroom there could be certain games (or parts of a larger game) that are required, but there are also games (or areas of the larger game) that are low-stakes and just for fun. Students can get drawn in to the low-stakes game and work their way up to something more overtly educational.","MKI"
"3","What did you find interesting about gamification as described in the article?The part that stuck out to me the most was the fourth paragraph under ""How: Goals and Techniques"": ""It [gamification] gives students clear, actionable tasks and promises them immediate rewards instead of vague long-term benefits...Games maintain this positive relationship with failure by making feedback cycles rapid and keeping the stakes low...in schools, on the other hand, the stakes of failure are high and the feedback cycles long. Students have few opportunities to try, and when they do, it is high stakes.""This resonated with me particularly in my experience with high-risk students where it's almost impossible to make them believe that school can help them succeed in life - the payoff is just too far away to make sense when there are all sorts of immediate gains that come from taking school less seriously, and they don't have to risk feeling stupid, particularly if they are already behind academically. Is gamification what you thought it was?I have read a little bit about gamification in the past, so Lee and Hammer's description fit with what I thought gamification was. How does gamification differ from actually using games? Gamification is using the techniques of games in a different context. It can mean turning an assignment into a game, but it can also refer to adding a ""game component"", like a competitive or cooperative element to the assignment. I think there is a lot of nuance around gamification and actually making it work in schools that will have to be discovered by trial and error. Gamification is a lot more than just switching from ""grades"" to ""experience points"", leaving everything else the same, and expecting student's motivation to be transformed. It required a much more in depth knowledge of what makes games appealing.I think a lot of the fun of games come from not being mandatory. So that's a hard line to draw in implementing gamification since we want all students to participate and we are accountable for them as teachers. I was thinking about our online learning community and how the book suggested (and Instructor has modeled this) that the community have places both for the required academic discussions/assignments, but also places for more causal, social interaction. Perhaps that is a lesson that could benefit gamification - in a classroom there could be certain games (or parts of a larger game) that are required, but there are also games (or areas of the larger game) that are low-stakes and just for fun. Students can get drawn in to the low-stakes game and work their way up to something more overtly educational.","DKI"
"4","What did you find interesting about gamification as described in the article?The part that stuck out to me the most was the fourth paragraph under ""How: Goals and Techniques"": ""It [gamification] gives students clear, actionable tasks and promises them immediate rewards instead of vague long-term benefits...Games maintain this positive relationship with failure by making feedback cycles rapid and keeping the stakes low...in schools, on the other hand, the stakes of failure are high and the feedback cycles long. Students have few opportunities to try, and when they do, it is high stakes.""This resonated with me particularly in my experience with high-risk students where it's almost impossible to make them believe that school can help them succeed in life - the payoff is just too far away to make sense when there are all sorts of immediate gains that come from taking school less seriously, and they don't have to risk feeling stupid, particularly if they are already behind academically. Is gamification what you thought it was?I have read a little bit about gamification in the past, so Lee and Hammer's description fit with what I thought gamification was. How does gamification differ from actually using games? Gamification is using the techniques of games in a different context. It can mean turning an assignment into a game, but it can also refer to adding a ""game component"", like a competitive or cooperative element to the assignment. I think there is a lot of nuance around gamification and actually making it work in schools that will have to be discovered by trial and error. Gamification is a lot more than just switching from ""grades"" to ""experience points"", leaving everything else the same, and expecting student's motivation to be transformed. It required a much more in depth knowledge of what makes games appealing.I think a lot of the fun of games come from not being mandatory. So that's a hard line to draw in implementing gamification since we want all students to participate and we are accountable for them as teachers. I was thinking about our online learning community and how the book suggested (and Instructor has modeled this) that the community have places both for the required academic discussions/assignments, but also places for more causal, social interaction. Perhaps that is a lesson that could benefit gamification - in a classroom there could be certain games (or parts of a larger game) that are required, but there are also games (or areas of the larger game) that are low-stakes and just for fun. Students can get drawn in to the low-stakes game and work their way up to something more overtly educational.","DKI"
"5","What did you find interesting about gamification as described in the article?The part that stuck out to me the most was the fourth paragraph under ""How: Goals and Techniques"": ""It [gamification] gives students clear, actionable tasks and promises them immediate rewards instead of vague long-term benefits...Games maintain this positive relationship with failure by making feedback cycles rapid and keeping the stakes low...in schools, on the other hand, the stakes of failure are high and the feedback cycles long. Students have few opportunities to try, and when they do, it is high stakes.""This resonated with me particularly in my experience with high-risk students where it's almost impossible to make them believe that school can help them succeed in life - the payoff is just too far away to make sense when there are all sorts of immediate gains that come from taking school less seriously, and they don't have to risk feeling stupid, particularly if they are already behind academically. Is gamification what you thought it was?I have read a little bit about gamification in the past, so Lee and Hammer's description fit with what I thought gamification was. How does gamification differ from actually using games? Gamification is using the techniques of games in a different context. It can mean turning an assignment into a game, but it can also refer to adding a ""game component"", like a competitive or cooperative element to the assignment. I think there is a lot of nuance around gamification and actually making it work in schools that will have to be discovered by trial and error. Gamification is a lot more than just switching from ""grades"" to ""experience points"", leaving everything else the same, and expecting student's motivation to be transformed. It required a much more in depth knowledge of what makes games appealing.I think a lot of the fun of games come from not being mandatory. So that's a hard line to draw in implementing gamification since we want all students to participate and we are accountable for them as teachers. I was thinking about our online learning community and how the book suggested (and Instructor has modeled this) that the community have places both for the required academic discussions/assignments, but also places for more causal, social interaction. Perhaps that is a lesson that could benefit gamification - in a classroom there could be certain games (or parts of a larger game) that are required, but there are also games (or areas of the larger game) that are low-stakes and just for fun. Students can get drawn in to the low-stakes game and work their way up to something more overtly educational.","DKI"
"6","O,You've hit on what intrigues me most about gamification, I think--redefining what success in school looks like and feels like. Games encourage repeating a level until you master it, and then moving on--and that's defined as normal and good. How do we do that in schools? ","MKC"
"7","Thanks for your thoughts, O.I agree with you - ""A lot of the fun of games come from not being mandatory."" Gamification, though, is about implementing gaming elements into the learning environment and activities, which can create a fun environment for the student that relates to the casual gamer. ","MKC"
"8","O- I agree with your thoughts in the first paragraph that it can be hard to keep students going when the outcome it so far away.  The article seem to really support the idea that gaming helps to keep students not only interested, but also helps to develop endurance.  The ability to keep at a task until you have success is a great life long skill.","MKC"
"9","I for sure see the potential for gamification in schools as described in the article and that schools already have some gamification in play (e.g., grades).  However, I like how they point out that grades and such are always high-stakes, whereas with games the stakes are always within reach and you get multiple chances to learn from failures.  Most importantly, I like the idea of returning fun to the learning.  When I was teaching high school I always had my students take a look at William Glasserês choice theory.  I would ask them when and how they get their various needs fulfilled.  Fun was always the tough one because most of the time fun was only had outside of school, but inevitably Iêd always find some students who craved this need so much in school that they would behave inappropriately.  It always came down to lake of time to be social.  Every time.  So, as a teacher what do you do with that?  I worked hard to create assignments or activities that forced my students to cooperate and sometimes compete, not always with success, but I found when I did give time for them to be social it paid off in terms of cutting down poor behavior.  However, itês a tough one because you only have so much time and lots of content to get through.I have read some of James Geeês work on gamification for other classes, so I was a little familiar with it prior to reading this article.  I am for sure intrigued about how to gamify aspects of school.  However, I do worry about the potential to fall into the extrinsic reward trap.  I think the interesting work will be to look into that line or space or whatever it is where young people (and adults) move away from the extrinsic reward and do it because they either enjoy it or made a commitment to it or they know they are learning from it or simply put, see value in it.  As I said, in my FlipGrid, I myself participate daily in to activities that use badges and rewards and even though itês a bit silly they do motivate me, but ultimately I do it because I see value in doing it.Gamification is the using of gaming techniques, not the game itself. I like how the authors argue, _a well-designed gamification system can help players take on meaningful roles that are fruitful for learning. By making the development of a new identity playful, and by rewarding it appropriately, we can help students think differently about their potential in school and what school might mean for them?(p. 4).  So, we can make school not this _game?that we all know and dread that we must get through to get to those potential rewards (e.g., graduation), but rather this game where you can try on new things safely and change constantly.  Iêm excited for it because gamification can foster curiosity, creativity, and ultimately can allow those involved to change the game itself.  Therefore, I see a lot more fluidity in gamification whereas the actual game is more set with specific rules and norms. ","MKI"
"10","I for sure see the potential for gamification in schools as described in the article and that schools already have some gamification in play (e.g., grades).  However, I like how they point out that grades and such are always high-stakes, whereas with games the stakes are always within reach and you get multiple chances to learn from failures.  Most importantly, I like the idea of returning fun to the learning.  When I was teaching high school I always had my students take a look at William Glasserês choice theory.  I would ask them when and how they get their various needs fulfilled.  Fun was always the tough one because most of the time fun was only had outside of school, but inevitably Iêd always find some students who craved this need so much in school that they would behave inappropriately.  It always came down to lake of time to be social.  Every time.  So, as a teacher what do you do with that?  I worked hard to create assignments or activities that forced my students to cooperate and sometimes compete, not always with success, but I found when I did give time for them to be social it paid off in terms of cutting down poor behavior.  However, itês a tough one because you only have so much time and lots of content to get through.I have read some of James Geeês work on gamification for other classes, so I was a little familiar with it prior to reading this article.  I am for sure intrigued about how to gamify aspects of school.  However, I do worry about the potential to fall into the extrinsic reward trap.  I think the interesting work will be to look into that line or space or whatever it is where young people (and adults) move away from the extrinsic reward and do it because they either enjoy it or made a commitment to it or they know they are learning from it or simply put, see value in it.  As I said, in my FlipGrid, I myself participate daily in to activities that use badges and rewards and even though itês a bit silly they do motivate me, but ultimately I do it because I see value in doing it.Gamification is the using of gaming techniques, not the game itself. I like how the authors argue, _a well-designed gamification system can help players take on meaningful roles that are fruitful for learning. By making the development of a new identity playful, and by rewarding it appropriately, we can help students think differently about their potential in school and what school might mean for them?(p. 4).  So, we can make school not this _game?that we all know and dread that we must get through to get to those potential rewards (e.g., graduation), but rather this game where you can try on new things safely and change constantly.  Iêm excited for it because gamification can foster curiosity, creativity, and ultimately can allow those involved to change the game itself.  Therefore, I see a lot more fluidity in gamification whereas the actual game is more set with specific rules and norms. ","DKI"
